 numero_reimpresiones, puntos_vta1anio_total, materia3, tirada, ejemplares_distribuidos_en_novedad, obsequios, pvp, reimpresiones, editorial, materia2, encuadernacion, venta_total, semanas_venta, coleccion, puntos_vta_total, materia1
608,78,,808,251,0,   14.42,32,UDLW10,,,-85,136,UDLW10001,112,
66,231,,2045,1023,6,   19.23,9,UDLW10,,3,378,136,UDLW10001,279,112
2044,402,,4058,1286,11,   25.00,13,UDLW10,,3,2215,136,UDLW10001,436,112
53,200,,1513,843,9,   17.31,8,UDLW10,,3,338,132,UDLW10001,210,112
152,202,,1212,652,8,   17.79,10,UDLW10,,3,320,118,UDLW10001,214,126
989,286,,1489,918,7,   27.88,9,UDLW10,,3,755,113,UDLW10001,303,971
48,231,,1545,838,6,   17.79,8,UDLW10,,3,297,112,UDLW10001,244,971
431,199,,1501,808,6,   20.19,8,UDLW10,,3,294,110,UDLW10001,213,971
34,184,,1048,605,9,   14.42,9,UDLW10,,3,257,95,UDLW10001,197,971
889,207,,1461,768,8,   26.92,6,UDLW10,,3,466,85,UDLW10001,261,971
43,280,,1528,946,10,   17.79,6,UDLW10,,3,795,82,UDLW10001,290,112
29,234,,1167,698,10,   20.19,6,UDLW10,,3,344,64,UDLW10001,239,971
23,202,,1138,599,8,   21.15,5,UDLW10,,3,290,61,UDLW10001,204,971
838,231,,1247,476,7,   22.12,6,UDLW10,,3,380,61,UDLW10001,234,971
75,246,,1203,747,8,   22.12,5,UDLW10,,3,271,58,UDLW10001,249,971
62,189,,1262,626,9,   25.00,4,UDLW10,,3,249,56,UDLW10001,191,112
26,214,,1446,735,8,   22.12,6,UDLW10,,3,267,55,UDLW10001,217,971
66,21,,106,102,0,   35.58,13,UDLW10,,0,29,136,UDLW10001,34,
43,217,,1102,734,9,   21.15,9,UDLW10,,3,639,115,UDLW10001,233,971
21,208,,921,666,8,   33.65,6,UDLW10,,2,654,106,UDLW10001,231,971
1553,19,,1571,44,0,   14.42,27,UDLW10,,,29,132,UDLW10002,29,
381,38,,405,159,0,   19.23,25,UDLW10,,,110,135,UDLW10002,58,
2374,15,,2407,51,0,   14.42,24,UDLW10,,,0,114,UDLW10002,20,
315,42,,334,124,0,   19.23,29,UDLW10,,,17,136,UDLW10002,46,
1110,11,,1193,125,0,   17.31,31,UDLW10,,,58,131,UDLW10002,15,
1218,10,,1287,98,0,   18.27,25,UDLW10,,0,5,136,UDLW10002,19,
2694,39,,2762,177,0,   18.27,25,UDLW10,,0,-2,135,UDLW10002,53,
1446,14,,1502,82,0,   17.31,28,UDLW10,,10,-5,132,UDLW10002,21,
1351,44,,1368,130,0,   14.42,32,UDLW10,,0,55,135,UDLW10002,63,
1472,25,,1512,70,0,   13.46,28,UDLW10,,0,-12,130,UDLW10002,36,
371,37,,398,121,0,   15.38,32,UDLW10,,0,-16,134,UDLW10002,47,
581,36,,613,125,0,   15.38,31,UDLW10,,0,-3,135,UDLW10002,49,
690,64,,713,243,0,   14.42,29,UDLW10,,10,-30,137,UDLW10002,89,
